goos: linux
goarch: amd64
pkg: ringbuffer-benchmark
cpu: AMD EPYC 7713 64-Core Processor                
BenchmarkRingByte_Sync-2                  	21882255	        50.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	24430354	        49.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	24248568	        49.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	24542188	        48.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	25267890	        50.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	24329763	        50.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	24658707	        48.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	22714478	        49.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	22856341	        49.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingByte_Sync-2                  	24482127	        49.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	24452368	        58.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	23240766	        50.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	24854187	        48.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	24395148	        50.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	24439834	        49.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	23265718	        49.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	24118162	        49.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	24126110	        48.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	24558316	        48.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkRingBuffer_Sync-2                	24695560	        49.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	19592287	        60.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	19265994	        62.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	18879442	        60.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	19391080	        61.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	18256963	        60.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	19283802	        61.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	19987676	        60.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	19990404	        60.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	19782307	        60.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_Sync-2                 	18991855	        60.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	20147275	        61.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	19740546	        61.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	18083032	        61.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	19863744	        60.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	20131605	        61.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	19690093	        60.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	19869243	        60.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	18324328	        61.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	19570869	        61.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_Sync-2                     	19046452	        62.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	11185473	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	11237470	       108.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	10860132	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	10810548	       106.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	11175201	       107.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	10254108	       109.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	10943283	       111.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	10840532	       109.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	11002394	       108.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncReadBlocking-2    	11174258	       109.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10689298	       111.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10812934	       113.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10882154	       113.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10848024	       113.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10852772	       110.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10948798	       110.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10811676	       110.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10979403	       112.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10764849	       110.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncReadBlocking-2        	10541024	       110.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	11216666	       110.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	11158885	       107.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	11023566	       109.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	11174568	       108.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	11131470	       109.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	 9433879	       108.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	11075570	       107.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	10561602	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	11133907	       108.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSmallnest_AsyncWriteBlocking-2   	11209371	       107.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10904509	       110.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10834680	       114.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10915952	       111.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10793125	       111.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	 8954905	       113.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10722780	       110.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10817949	       110.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10854495	       110.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10979047	       110.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgcv_AsyncWriteBlocking-2       	10817970	       116.3 ns/op	       0 B/op	       0 allocs/op
PASS
